name,url,persona,company,message,status,personalization_score,original_score,char_count,notes
Vivek Raghavan,https://www.linkedin.com/in/vivekraghavan,persona_1_founders,Sarvam AI,Hey Vivek — built dual-model fallback (OpenAI → Gemini on 5xx) and a provider-agnostic LLM layer at OpenBiz. Sarvam AI's work on Indian-language foundation models is the infra problem I want to be close to. Would connect.,draft_personalized,3,0,221,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
Pratyush Kumar,https://www.linkedin.com/in/pratyush-kumar-9b1b1b,persona_1_founders,Sarvam AI,Hey Pratyush — built dual-model fallback (OpenAI → Gemini on 5xx) and a provider-agnostic LLM layer at OpenBiz. Sarvam AI's work on Indian-language foundation models is the infra problem I want to be close to. Would connect.,draft_personalized,3,0,224,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
Bhavish Aggarwal,https://www.linkedin.com/in/bhavishaggarwal,persona_1_founders,Krutrim,Hey Bhavish — built dual-model fallback (OpenAI → Gemini) and provider-agnostic LLM layer at OpenBiz. Krutrim's Indian LLM infrastructure is the kind of foundational problem I want to work on. Would connect.,draft_personalized,3,0,207,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
Prasad Kavuri,https://www.linkedin.com/in/prasadkavuri,persona_2_vp_eng,Krutrim,"Hey Prasad — shipped LLM orchestration with provider-agnostic abstraction (Groq, OpenAI, Anthropic) and pgvector RAG at OpenBiz. Krutrim's LLM infrastructure build-out is where this applies. Would connect.",draft_personalized,3,0,205,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
Raghu Ravinutala,https://www.linkedin.com/in/raghuravinutala,persona_1_founders,Yellow.ai,"Hey Raghu — built VyaparGPT, a WhatsApp-native AI for 40+ SMBs using LangChain and provider fallback. Yellow.ai's orchestration layer is exactly the kind of infra I want to work on. Would value connecting.",draft_personalized,3,0,205,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
Madhav Chinta,https://www.linkedin.com/in/madhavchinta,persona_2_vp_eng,Yellow.ai,Hey Madhav — shipped LangGraph stateful agents and pgvector RAG at OpenBiz. Yellow.ai's enterprise conversational AI infra is the right next problem. Would connect.,draft_personalized,3,0,164,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
Ashwini Asokan,https://www.linkedin.com/in/ashwiniasokan,persona_1_founders,Mad Street Den,"[No suggestion available — add entry to SUGGESTIONS dict in personalize_messages.py for company='Mad Street Den', persona='persona_1']",draft_personalized,1,0,134,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
Anand Chandrasekaran,https://www.linkedin.com/in/anand-chandrasekaran-7b1b1b,persona_1_founders,Mad Street Den,"[No suggestion available — add entry to SUGGESTIONS dict in personalize_messages.py for company='Mad Street Den', persona='persona_1']",draft_personalized,1,0,134,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
Beerud Sheth,https://www.linkedin.com/in/beerud,persona_1_founders,Gupshup,"Hey Beerud — shipped a WhatsApp-native LLM for 40+ SMBs (LangGraph, provider fallback, full webhook lifecycle). Gupshup's conversational messaging platform is the infra layer I've been building on top of. Would connect.",draft_personalized,3,0,219,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
Swapnil Jain,https://www.linkedin.com/in/swapniljain,persona_1_founders,Observe.AI,Hey Swapnil — shipped LangGraph stateful agents and a WhatsApp LLM for 40 SMBs at my last startup. Observe.AI's real-time agent guidance layer is the natural next problem. Would value connecting.,draft_personalized,3,0,195,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
Jithendra Vepa,https://www.linkedin.com/in/jithendravepa,persona_1_founders,Observe.AI,Hey Jithendra — shipped LangGraph stateful agents and a WhatsApp LLM for 40 SMBs at my last startup. Observe.AI's real-time agent guidance layer is the natural next problem. Would value connecting.,draft_personalized,3,0,197,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
Ayush Kumar,https://www.linkedin.com/in/ayush-kumar-iitp,persona_3_eng_managers,Observe.AI,"Hey Ayush — own the AI backend loop: LangGraph agents, pgvector RAG, MERN TypeScript, 40 SMBs in prod. No ramp on Observe.AI's contact center AI backend. Would like to connect.",draft_personalized,3,0,176,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
Muzammil Badbade,https://www.linkedin.com/in/muzammilbadbade,persona_5_recruiters,Observe.AI,"Hey Muzammil — Full-stack + AI eng, immediate joiner. LangGraph agents, pgvector RAG, VyaparGPT (40 SMBs). Targeting Observe.AI's engineering roles. 15L+ (negotiable).",draft_personalized,2,0,167,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
Umesh Sachdev,https://www.linkedin.com/in/umeshsachdev,persona_1_founders,Uniphore,"[No suggestion available — add entry to SUGGESTIONS dict in personalize_messages.py for company='Uniphore', persona='persona_1']",draft_personalized,1,0,128,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
Ravi Saraogi,https://www.linkedin.com/in/ravisaraogi,persona_1_founders,Uniphore,"[No suggestion available — add entry to SUGGESTIONS dict in personalize_messages.py for company='Uniphore', persona='persona_1']",draft_personalized,1,0,128,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
Ravi Mayuram,https://www.linkedin.com/in/ravimayuram,persona_2_vp_eng,Uniphore,"[No suggestion available — add entry to SUGGESTIONS dict in personalize_messages.py for company='Uniphore', persona='persona_2']",draft_personalized,1,0,128,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
Muddu Sudhakar,https://www.linkedin.com/in/muddusudhakar,persona_1_founders,Aisera,"[No suggestion available — add entry to SUGGESTIONS dict in personalize_messages.py for company='Aisera', persona='persona_1']",draft_personalized,1,0,126,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
Christos Tryfonas,https://www.linkedin.com/in/christos-tryfonas,persona_1_founders,Aisera,"[No suggestion available — add entry to SUGGESTIONS dict in personalize_messages.py for company='Aisera', persona='persona_1']",draft_personalized,1,0,126,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
Chinna Polinati,https://www.linkedin.com/in/chinna-polinati-aisera,persona_2_vp_eng,Aisera,"[No suggestion available — add entry to SUGGESTIONS dict in personalize_messages.py for company='Aisera', persona='persona_2']",draft_personalized,1,0,126,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
Shubham Mishra,https://www.linkedin.com/in/shubham-mishra-pixis,persona_1_founders,Pixis,"[No suggestion available — add entry to SUGGESTIONS dict in personalize_messages.py for company='Pixis', persona='persona_1']",draft_personalized,1,0,125,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
Vrushali Prasade,https://www.linkedin.com/in/vrushali-prasade,persona_1_founders,Pixis,"[No suggestion available — add entry to SUGGESTIONS dict in personalize_messages.py for company='Pixis', persona='persona_1']",draft_personalized,1,0,125,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
Vikas Mishra,https://www.linkedin.com/in/vikas-mishra-pixis,persona_2_vp_eng,Pixis,"[No suggestion available — add entry to SUGGESTIONS dict in personalize_messages.py for company='Pixis', persona='persona_2']",draft_personalized,1,0,125,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
Vishnu Subramanian,https://www.linkedin.com/in/vishnusubramanian,persona_1_founders,JarvisLabs.ai,"[No suggestion available — add entry to SUGGESTIONS dict in personalize_messages.py for company='JarvisLabs.ai', persona='persona_1']",draft_personalized,1,0,133,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
Ganesh Gopalan,https://www.linkedin.com/in/ganeshgopalan,persona_1_founders,Gnani.ai,"[No suggestion available — add entry to SUGGESTIONS dict in personalize_messages.py for company='Gnani.ai', persona='persona_1']",draft_personalized,1,0,128,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
Ananth Nagaraj,https://www.linkedin.com/in/ananth-nagaraj-gnani,persona_1_founders,Gnani.ai,"[No suggestion available — add entry to SUGGESTIONS dict in personalize_messages.py for company='Gnani.ai', persona='persona_1']",draft_personalized,1,0,128,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
Anup Pattnaik,https://www.linkedin.com/in/anup-pattnaik,persona_3_eng_managers,Observe.AI,"Hey Anup — own the AI backend loop: LangGraph agents, pgvector RAG, MERN TypeScript, 40 SMBs in prod. No ramp on Observe.AI's contact center AI backend. Would like to connect.",draft_personalized,3,0,175,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
Navtej Reddy,https://www.linkedin.com/in/navtej-reddy,persona_4_senior_engineers,Observe.AI,Hey Navtej — shipped LangGraph stateful agents and a WhatsApp LLM for 40 SMBs at my last startup. Observe.AI's real-time agent guidance layer is the natural next problem. Would value connecting.,draft_personalized,3,0,194,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
Ajey Hare Prasath,https://www.linkedin.com/in/ajeyhareprasath,persona_5_recruiters,Pixis,"[No suggestion available — add entry to SUGGESTIONS dict in personalize_messages.py for company='Pixis', persona='persona_5']",draft_personalized,1,0,125,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
Ayushree Chatterjee,https://www.linkedin.com/in/ayushree-chatterjee,persona_5_recruiters,Pixis,"[No suggestion available — add entry to SUGGESTIONS dict in personalize_messages.py for company='Pixis', persona='persona_5']",draft_personalized,1,0,125,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
Jared Lucas,https://www.linkedin.com/in/jaredlucas,persona_5_recruiters,Aisera,"[No suggestion available — add entry to SUGGESTIONS dict in personalize_messages.py for company='Aisera', persona='persona_5']",draft_personalized,1,0,126,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
Emily Yarrington,https://www.linkedin.com/in/emily-yarrington-aisera,persona_5_recruiters,Aisera,"[No suggestion available — add entry to SUGGESTIONS dict in personalize_messages.py for company='Aisera', persona='persona_5']",draft_personalized,1,0,126,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
Harshit Rajesh Dhamecha,https://www.linkedin.com/in/harshitrajeshdhamecha/,persona_3_eng_managers,BrowserStack,Hey Harshit — shipped an autonomous web agent (Claude + MCP) and MERN platform serving 1000+ users. No ramp on BrowserStack's test automation backend. Would like to connect.,draft_personalized,3,0,173,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
Aryan Kumar,https://www.linkedin.com/in/aryan-kumar-a7ab7821b/,persona_3_eng_managers,BrowserStack,Hey Aryan — shipped an autonomous web agent (Claude + MCP) and MERN platform serving 1000+ users. No ramp on BrowserStack's test automation backend. Would like to connect.,draft_personalized,3,0,171,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
Sai Harsha Vardhan,https://www.linkedin.com/in/vsaiharshavardhan/,persona_3_eng_managers,Juspay,Hey Sai — shipped idempotent payments webhooks with 100% payment consistency and cut API latency 40% via N+1 resolution. No ramp on payments engineering stack. Looking to connect.,draft_personalized,2,0,179,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
Shubhranshu Sanjeev,https://www.linkedin.com/in/shubhranshu-sanjeev-172a75168/,persona_3_eng_managers,Juspay,Hey Shubhranshu — shipped idempotent payments webhooks with 100% payment consistency and cut API latency 40% via N+1 resolution. No ramp on payments engineering stack. Looking to connect.,draft_personalized,2,0,187,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
Naman Agarwal,https://www.linkedin.com/in/naman-agarwal-01/,persona_3_eng_managers,Juspay,Hey Naman — shipped idempotent payments webhooks with 100% payment consistency and cut API latency 40% via N+1 resolution. No ramp on payments engineering stack. Looking to connect.,draft_personalized,2,0,181,0: company name missing; 0: no domain keywords found; 0: no Atin asset keywords found
